query	service	action	params

播放流着泪说分手	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '流着泪说分手', 'norm': '流着泪说分手', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放琉璃月	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '琉璃月', 'norm': '琉璃月', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放六层楼	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '六层楼', 'norm': '六层楼', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放六日战士	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '六日战士', 'norm': '六日战士', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放六神无主	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '六神无主', 'norm': '六神无主', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放六字真言颂	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '六字真言颂', 'norm': '六字真言颂', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放龙卷风	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '龙卷风', 'norm': '龙卷风', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放泸沽寻梦	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '泸沽寻梦', 'norm': '泸沽寻梦', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放鲁冰花	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '鲁冰花', 'norm': '鲁冰花', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放鹿港小镇	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '鹿港小镇', 'norm': '鹿港小镇', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放路	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '路', 'norm': '路', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放路灯下的小姑娘	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '路灯下的小姑娘', 'norm': '路灯下的小姑娘', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放路过幸福	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '路过幸福', 'norm': '路过幸福', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放路太弯	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '路太弯', 'norm': '路太弯', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放路一直都在	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '路一直都在', 'norm': '路一直都在', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放乱炖的木吉他	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '乱炖的木', 'norm': '乱炖的木', 'logic': '', 'paramType': '@sys.any', 'code': 0}, 'taglist': {'orgin': '[{"instrument":"吉他"}]', 'norm': '[{"instrument":"吉他"}]', 'logic': '0', 'paramType': '{"instrument":"@sys.entity.MUSIC_TAG_INSTRUMENT"}', 'code': 0}}

播放乱世	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '乱世', 'norm': '乱世', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放乱世巨星	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '乱世巨星', 'norm': '乱世巨星', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放乱世殇	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '乱世殇', 'norm': '乱世殇', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放乱世月光	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '乱世月光', 'norm': '乱世月光', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放螺旋大锯，嗨的你找不见方向	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '螺旋大锯嗨的你找不见方向', 'norm': '螺旋大锯嗨的你找不见方向', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放裸夏	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '裸夏', 'norm': '裸夏', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放洛丽塔	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '洛丽塔', 'norm': '洛丽塔', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放落花	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '落花', 'norm': '落花', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放落花雨	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '落花雨', 'norm': '落花雨', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放落空	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '落空', 'norm': '落空', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放落梅笺	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '落梅笺', 'norm': '落梅笺', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放落日谣	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '落日谣', 'norm': '落日谣', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放落俗	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '落俗', 'norm': '落俗', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放落叶情	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '落叶', 'norm': '落叶', 'logic': '', 'paramType': '@sys.any', 'code': 0}, 'taglist': {'orgin': '[{"theme":"情"}]', 'norm': '[{"theme":"爱情"}]', 'logic': '0', 'paramType': '{"theme":"@sys.entity.MUSIC_TAG_THEME"}', 'code': 0}}

播放旅程	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '旅程', 'norm': '旅程', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放旅行	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '旅行', 'norm': '旅行', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放绿光	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '绿光', 'norm': '绿光', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放绿旋风	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '绿旋风', 'norm': '绿旋风', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放略略略	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '略略略', 'norm': '略略略', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放妈妈	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '妈妈', 'norm': '妈妈', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放妈说	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '妈说', 'norm': '妈说', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放麻花辫子	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '麻花辫子', 'norm': '麻花辫子', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放麻辣火歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '麻辣火', 'norm': '麻辣火', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放玛利亚	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '玛利亚', 'norm': '玛利亚', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放满	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '满', 'norm': '满', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放满身囔囔踹	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '满身囔囔踹', 'norm': '满身囔囔踹', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放蔓延	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '蔓延', 'norm': '蔓延', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放漫步	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '漫步', 'norm': '漫步', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放漫步人生路	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '漫步人生路', 'norm': '漫步人生路', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放漫动作	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '漫动作', 'norm': '漫动作', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放漫漫人生路	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '漫漫人生路', 'norm': '漫漫人生路', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放慢慢	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '慢慢', 'norm': '慢慢', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放慢慢纪念	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '慢慢纪念', 'norm': '慢慢纪念', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放慢慢落单	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '慢慢落单', 'norm': '慢慢落单', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放慢热	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '慢', 'norm': '慢', 'logic': '', 'paramType': '@sys.any', 'code': 0}, 'taglist': {'orgin': '[{"theme":"热"}]', 'norm': '[{"theme":"劲爆"}]', 'logic': '0', 'paramType': '{"theme":"@sys.entity.MUSIC_TAG_THEME"}', 'code': 0}}

播放猫咪宝贝	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '猫咪宝贝', 'norm': '猫咪宝贝', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放帽子戏法	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '帽子戏法', 'norm': '帽子戏法', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放么么么么哒	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '么么么么哒', 'norm': '么么么么哒', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放没道理	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '没道理', 'norm': '没道理', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放没关系	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '没关系', 'norm': '没关系', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放没了你,我把哭当成了笑	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '没了你我把哭当成了笑', 'norm': '没了你我把哭当成了笑', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放没离开过	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '没离开过', 'norm': '没离开过', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放没理由	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '没理由', 'norm': '没理由', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放没那么坚强	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '没那么坚强', 'norm': '没那么坚强', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放没那么简单	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '没那么简单', 'norm': '没那么简单', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放没那种命	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '没那种命', 'norm': '没那种命', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放没啥伤不起	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '没啥伤不起', 'norm': '没啥伤不起', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放没什么	RMUSIC_1129	PlayByName	{'name': {'orgin': '没什', 'norm': '没什', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放没收	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '没收', 'norm': '没收', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放没有你, 我什么都不是	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '没有你我什么都不是', 'norm': '没有你我什么都不是', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放没有你的夜	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '没有你的夜', 'norm': '没有你的夜', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放没有你陪伴我真的好孤单	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '没有你陪伴我真的好孤单', 'norm': '没有你陪伴我真的好孤单', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放没有你陪伴真的好孤单	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '没有你陪伴真的好孤单', 'norm': '没有你陪伴真的好孤单', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放没有你以后	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '没有你以后', 'norm': '没有你以后', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放没有情人的情人节	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '没有情人的情人节', 'norm': '没有情人的情人节', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放没有人爱	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '没有人爱', 'norm': '没有人爱', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放没有人比我更爱你	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '没有人比我更爱你', 'norm': '没有人比我更爱你', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放没有人像你	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '没有人像你', 'norm': '没有人像你', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放没有如果	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '没有如果', 'norm': '没有如果', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放没有什么不同	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '没有什么不同', 'norm': '没有什么不同', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放没有勇气	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '没有勇气', 'norm': '没有勇气', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放没有这首歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '没有这首', 'norm': '没有这首', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放玫瑰	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '玫瑰', 'norm': '玫瑰', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放玫瑰花的葬礼	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '玫瑰花的葬礼', 'norm': '玫瑰花的葬礼', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放玫瑰玫瑰我爱你	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '玫瑰玫瑰我爱你', 'norm': '玫瑰玫瑰我爱你', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放玫瑰是我偷的	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '玫瑰是我偷', 'norm': '玫瑰是我偷', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放玫瑰是我偷的 但我爱你是真的	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '玫瑰是我偷的但我爱你是真', 'norm': '玫瑰是我偷的但我爱你是真', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放眉飞色舞	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '眉飞色舞', 'norm': '眉飞色舞', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放梅花弄弄弄	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '梅花弄弄弄', 'norm': '梅花弄弄弄', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放梅花三弄	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '梅花三弄', 'norm': '梅花三弄', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放梅花三弄弄	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '梅花三弄弄', 'norm': '梅花三弄弄', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放梅兰梅兰我爱你	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '梅兰梅兰我爱你', 'norm': '梅兰梅兰我爱你', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放每次都想呼喊你的名字	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '每次都想呼喊你的名字', 'norm': '每次都想呼喊你的名字', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放每次和你走在路上都会看见一只喵	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '每次和你走在路上都会看见一只喵', 'norm': '每次和你走在路上都会看见一只喵', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放每个人都会	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '每个人都会', 'norm': '每个人都会', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放每个人都看到了希望	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '每个人都看到了希望', 'norm': '每个人都看到了希望', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放每个人心中都有一片草原	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '每个人心中都有一片草原', 'norm': '每个人心中都有一片草原', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放每天爱你多一点	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '每天爱你多一点', 'norm': '每天爱你多一点', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放每一次让人心碎的	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '每一次让人心碎', 'norm': '每一次让人心碎', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放每一生都等你	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '每一生都等你', 'norm': '每一生都等你', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放每一天都不同	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '每一天都不同', 'norm': '每一天都不同', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放美	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '美', 'norm': '美', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放美错	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '美错', 'norm': '美错', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放美杜莎	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '美杜莎', 'norm': '美杜莎', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放美好的时光	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '美好的时光', 'norm': '美好的时光', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放美好的一天	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '美好的一天', 'norm': '美好的一天', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放美好的意外	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '美好的意外', 'norm': '美好的意外', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放美好的昨天	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '美好的昨天', 'norm': '美好的昨天', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放美酒加咖啡	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '美酒加咖啡', 'norm': '美酒加咖啡', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放美了美了	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '美了美了', 'norm': '美了美了', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放美丽的神话	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '美丽的神话', 'norm': '美丽的神话', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放美丽的遇见	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '美丽的遇见', 'norm': '美丽的遇见', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放美丽世界的孤儿	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '美丽世界的孤儿', 'norm': '美丽世界的孤儿', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放美丽新世界	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '美丽新世界', 'norm': '美丽新世界', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放美丽中国走起来	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '美丽中国走起来', 'norm': '美丽中国走起来', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放美美哒	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '美美哒', 'norm': '美美哒', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放美梦成真	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '美梦成真', 'norm': '美梦成真', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放美女城市	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '美女城市', 'norm': '美女城市', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放美女蛇	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '美女蛇', 'norm': '美女蛇', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放美女与野兽	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '美女与野兽', 'norm': '美女与野兽', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放美人	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '美人', 'norm': '美人', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放美若黎明	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '美若黎明', 'norm': '美若黎明', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放门	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '门', 'norm': '门', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放门打开	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '门打开', 'norm': '门打开', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放萌萌哒	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '萌萌哒', 'norm': '萌萌哒', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放萌萌哒天团	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '萌萌哒天团', 'norm': '萌萌哒天团', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放萌萌滴乖乖滴	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '萌萌滴乖乖滴', 'norm': '萌萌滴乖乖滴', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放蒙娜丽莎的眼泪	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '蒙娜丽莎的眼泪', 'norm': '蒙娜丽莎的眼泪', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放朦胧夜里谁等候	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '朦胧夜里谁等候', 'norm': '朦胧夜里谁等候', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放猛龙过江	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '猛龙过江', 'norm': '猛龙过江', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放梦	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '梦', 'norm': '梦', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放梦不死	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '梦不死', 'norm': '梦不死', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放梦草原	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '梦草原', 'norm': '梦草原', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放梦缠绵	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '梦缠绵', 'norm': '梦缠绵', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放梦带我旅行	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '梦带我旅行', 'norm': '梦带我旅行', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放梦的翅膀受了伤	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '梦的翅膀受了伤', 'norm': '梦的翅膀受了伤', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放梦的怒放	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '梦的怒放', 'norm': '梦的怒放', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放梦回家乡	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '梦回家乡', 'norm': '梦回家乡', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放梦里的泪	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '梦里的泪', 'norm': '梦里的泪', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放梦里梦外	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '梦里梦外', 'norm': '梦里梦外', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放梦千年之恋	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '梦千年之恋', 'norm': '梦千年之恋', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放梦驼铃	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '梦驼铃', 'norm': '梦驼铃', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放梦想摩天楼	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '梦想摩天楼', 'norm': '梦想摩天楼', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放梦醒时分	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '梦醒时分', 'norm': '梦醒时分', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放梦一场	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '梦一场', 'norm': '梦一场', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放梦已残	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '梦已残', 'norm': '梦已残', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放梦中想着你	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '梦中想着你', 'norm': '梦中想着你', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放梦中新娘	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '梦中新娘', 'norm': '梦中新娘', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放梦醉荷塘	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '梦醉荷塘', 'norm': '梦醉荷塘', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放迷宫	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '迷宫', 'norm': '迷宫', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放迷失的季节	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '迷失的季节', 'norm': '迷失的季节', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放米店	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '米店', 'norm': '米店', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放棉花糖	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '棉花糖', 'norm': '棉花糖', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放勉强幸福	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '勉强幸福', 'norm': '勉强幸福', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

